cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
4,0.03,0.042,0.048,0.001,0.06,0.028,0.043,0.169,0.04,0,0.252,0.121918,-0.04776,0.693359,-0.517883,0.132141,1.052,stroke,0.12,0.048,0.18,0.169,0.341
0.03,0.03,0.071,0.008,0.051,0.048,0.011,0.135,0.03,0,0.176,0.063171,-0.050964,0.993195,-0.30777,0.080261,0.772,stroke,0.131,0.071,0.189,0.135,0.283,
0.059,0.038,0.072,0.008,0.031,0.026,0.171,0.001,0.071,0,0.243,0.107574,-0.070496,1.7543,-0.613098,0.180664,1.04,normal,0.169,0.072,0.308,0.001,0.308,
52,0.031,0.044,0.076,0.002,0.056,0.022,0.089,0.233,0.046,0,0.368,0.068512,-0.033875,1.51001,-0.798798,0.109863,1.31,stroke,0.151,0.076,0.245,0.233,0.448
61,0.031,0.039,0.261,0.013,0.027,0.028,0.155,0.347,0.031,0,0.533,0.067139,-0.090332,1.61606,-0.626068,1.5625,0.565,stroke,0.331,0.261,0.484,0.347,0.601
2,0.035,0.037,0.073,0.002,0.059,0.031,0.001,0.221,0.035,0,0.257,0.041504,-0.04837,0.924225,-0.324707,0.100098,1.016,stroke,0.145,0.073,0.166,0.221,0.349
19,0.031,0.032,0.122,0.011,0.029,0.031,0.098,0.067,0.081,0,0.246,0.056152,-0.060272,1.39801,-0.55191,0.102844,0.819,stroke,0.185,0.122,0.291,0.067,0.317
0.037,0.034,0.266,0.009,0.029,0.05,0.065,0.369,0.031,0,0.465,0.093231,-0.051117,0.810547,-0.263672,0.706329,0.597,normal,0.337,0.266,0.419,0.369,0.553,
24,0.031,0.044,0.093,0.012,0.036,0.029,0.008,0.084,0.12,0,0.212,0.092926,-0.02182,1.01807,-0.302582,0.205231,1.032,stroke,0.168,0.093,0.178,0.084,0.289
28,0.05,0.074,0.039,0.002,0.033,0.031,0.042,0.133,0.031,0,0.206,0.061188,-0.078125,0.40741,-0.551758,0.078125,0.774,stroke,0.163,0.039,0.147,0.133,0.272
23,0.038,0.06,0.042,0.025,0.034,0.037,0.093,0.082,0.105,0,0.28,0.071106,-0.21698,1.39984,-0.441742,0.142059,1.075,stroke,0.14,0.042,0.231,0.082,0.376
0.05,0.053,0.051,0.015,0.028,0.054,0.06,,0.06,0,0.06,0.070038,-0.067749,0.732422,-0.507812,0.188293,0.874,normal,0.154,0.051,0.208,,,
0.049,0.054,0.069,0.001,0.048,0.023,0.039,0.182,0.031,0,0.252,0.102692,-0.028992,1.353,-0.936432,0.193024,0.993,normal,0.172,0.069,0.18,0.182,0.324,
0.041,0.038,0.083,0.011,0.028,0.04,0.155,,0.168,0,0.168,0.066223,-0.100861,1.45538,-0.478516,0.102692,0.721,stroke,0.162,0.083,0.317,,,
0.032,0.042,0.199,0.001,0.059,0.157,0.005,0.108,0.03,0,0.143,0.017395,-0.003662,0.032501,0.005188,0.731812,1.273,stroke,0.273,0.199,0.421,0.108,0.36,
38,0.031,0.062,0.047,0.003,0.036,0.034,0.101,0.088,0.032,0,0.221,0.097656,-0.043793,1.1525,-0.540009,0.163879,0.92,stroke,0.14,0.047,0.221,0.088,0.294
0.033,0.052,0.11,0.007,0.031,0.024,0.1,0.028,0.11,0,0.238,0.122528,-0.00473,1.24634,-0.44693,0.371552,0.997,normal,0.195,0.11,0.272,0.028,0.3,
15,0.046,0.071,0.082,0.011,0.032,0.03,0.134,0.072,0.042,0,0.248,0.048981,-0.029297,0.673828,-0.324402,0.102844,0.718,stroke,0.199,0.082,0.289,0.072,0.321
42,0.057,0.038,0.039,0.001,0.06,0.026,0.032,0.023,0.2,0,0.255,0.10498,-0.024414,1.18561,-0.50827,0.246735,0.897,stroke,0.134,0.039,0.158,0.023,0.342
